Feature,Importance
Credit_Amount,0.1120746915121919
Duration (in months),0.09868368023128644
Checking_Acc_Status_No Checking Account,0.09163982426646396
Age,0.07183516972318292
Checking_Acc_Status_< 0 DM,0.05085172755708544
Installment_Rate,0.03978452006098923
Residence_Since,0.03292010124172339
Credit_History_Critical Account / Other Existing Credits,0.031655362070302645
Savings_Acc_< 100 DM,0.029945094199967524
Other_Installment_None,0.02799581280374537
Personal_Status_Male: Single,0.020908938524739934
Property_No Property,0.01999105272178593
Savings_Acc_No Savings Account,0.019790589708871167
Purpose_Radio/TV,0.016819184927248754
Existing_Credits,0.016167179778015902
Property_Real Estate,0.015520051296996858
Employment_< 1 Year,0.015272262966411432
Credit_History_No Credit Taken / All Paid,0.01525168811393449
Housing_Own,0.014777897877173967
Property_Savings/Insurance,0.013565624354642515
Employment_>= 7 Years,0.01273461540140441
Purpose_Education,0.012604702368944065
Purpose_New Car,0.012420528185520316
Credit_History_Past Delays in Payment,0.012290507913984235
Purpose_Furniture/Equipment,0.012029289247276758
Employment_4-7 Years,0.011984064590590603
Purpose_Used Car,0.01179876914466168
Job_Skilled,0.011694851657340079
Num_People_Maintained,0.011090319783810832
Housing_Rent,0.010862151629095715
"Telephone_Yes, Registered",0.01085045769067675
Job_Unskilled (Resident),0.010671642646891915
Other_Debtors_None,0.01028334409533368
Savings_Acc_>= 1000 DM,0.010145000010239633
Checking_Acc_Status_>= 200 DM or Salary Assigned,0.009702985266168397
Employment_Unemployed,0.009038585889457319
Personal_Status_Male: Divorced/Separated,0.00859132791125315
Credit_History_All Paid (Same Bank),0.008545555848910275
Other_Debtors_Guarantor,0.007690509862892058
Foreign_Worker_Yes,0.0076493937554067025
Personal_Status_Male: Married/Widowed,0.007618103538204869
Savings_Acc_500-1000 DM,0.007269364661227914
Other_Installment_Stores,0.006259657843991811
Purpose_Repairs,0.005527004441958623
Job_Unemployed / Unskilled (Non-Resident),0.0021025494386305538
Purpose_Retraining,0.0011265926367603058
Purpose_Domestic Appliances,0.0011121594875987643
Purpose_Others,0.0008555111150088639
